id,media_type,cdn_url,duration,time_added
1,video,https://scontent-ams2-1.cdninstagram.com/o1/v/t2/f2/m78/AQMQkRBKQGJzNEJHb9Kto-t0GRKyXzQgH6jCqNBJMVCsrHCpCsamF4p01F5KuibjGwmhO4Tu-YXFqRDQFOmtR6wYXAdF4ga-tcuIDP4.mp4?_nc_cat=106&_nc_sid=5e9851&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_ohc=tyMuFGaHXsoQ7kNvwE-okk6&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uU1RPUlkuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6Mzk5NTg5MzE2NTIwOTM2LCJ2aV91c2VjYXNlX2lkIjoxMDgyNiwiZHVyYXRpb25fcyI6NDcsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=c90a0c9a9ab620d9&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzBDNDYzMjhENEE1ODFBMDhBMDFGNUQ3NzAwOEZDMEFFX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dNT2pkQnYwNzN5RV9BSUtBS2paTUpVRUV6WVBicGt3QUFBRhUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbQr6O0lNu1ARUCKAJDMywXQEelwo9cKPYYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHZZSpAQA&_nc_zt=28&oh=00_AfUJVEolzj5oJutx194oKYhkYvWjyzcSK9ULzGe9idI2hA&oe=68952EC3,48,10 months ago
2,image,https://scontent-ams2-1.cdninstagram.com/v/t51.29350-15/460896092_1880057582490841_7104157659132952414_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IlNUT1JZLmltYWdlX3VybGdlbi4xMTI1eDIwMDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlLmMyIn0&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QEUXefyXTS1Thqit6u0ZR8-xaThKoy-EPNGcmhzy_1YZA0SR2KHanmGLTM1JASEvhs&_nc_ohc=zx5BbwFVvBQQ7kNvwFhZ5lJ&_nc_gid=dwolHFaKKiXq8C8x5OhGMA&edm=ANmP7GQBAAAA&ccb=7-5&ig_cache_key=MzQ2NDk0ODM2NDM3NDgzODk5Nw%3D%3D.3-ccb7-5&oh=00_AfXpNAlGCvxxu5FkOTlGf51nLDBaBI2Vcaljf1UiCqmW1w&oe=6899219C&_nc_sid=982cc7,0,10 months ago
3,video,https://scontent-ams2-1.cdninstagram.com/o1/v/t2/f2/m78/AQP_G3A3XgKa18WFSXqa2zWK7exrybVN0sx1ZE-KPLcwMHVHg0jL_DZCGF3WYJ14j-HrmZILwbBYY82A7taYSGYpOVPdI8zUyKRXAh8.mp4?_nc_cat=111&_nc_sid=5e9851&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_ohc=L2nXLt7rOMUQ7kNvwHaNlUu&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uU1RPUlkuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTcxNjM4NzAyNTU3MDAxMSwidmlfdXNlY2FzZV9pZCI6MTAxMDAsImR1cmF0aW9uX3MiOjYwLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=bc5f0d0a2cff1105&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzczNEMzQjJFNkIzRUM2RDdGNTQ0MEMyMThFN0Y0NjlFX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dIWGllUnV6SFBrUXowb0dBSGpJQUVrQ0d5ZGdicGt3QUFBRhUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACa2o6bv78KMBhUCKAJDMywXQE4AIMSbpeMYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHZeidAQA&_nc_gid=dwolHFaKKiXq8C8x5OhGMA&_nc_zt=28&oh=00_AfWDm2TorNI_-m-zYfu6LTicwaFnR4QTt8WPD9R4IshR5g&oe=68951F48,61,10 months ago
4,video,https://scontent-ams2-1.cdninstagram.com/o1/v/t2/f2/m78/AQP6EzdhOP6tHPKFzdVbD2x8WGtpdqGvIwWC-_O5zM5EVi3Mq1smSPi_RG2-Y0AV_6ldGEQxe_D5s-PP401g-uoJiL6VPxQrPtP2aEM.mp4?_nc_cat=108&_nc_sid=5e9851&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_ohc=Inm6190M7rEQ7kNvwGs0TWx&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uU1RPUlkuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6ODE4NDI3NTgzNTEwOTY1LCJ2aV91c2VjYXNlX2lkIjoxMDEwMCwiZHVyYXRpb25fcyI6NjAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=6f4670953885942&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzhBNDgwMzc5RTc3NzgzRTUxMDg4QTU2MEMzNDdBMjg4X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dDVi1mQnZhcHhUY243Y0RBQVhrMHg4Q25lVkpicGt3QUFBRhUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbq5p3W4Jb0AhUCKAJDMywXQE4AxJul41QYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHZeidAQA&_nc_gid=dwolHFaKKiXq8C8x5OhGMA&_nc_zt=28&oh=00_AfWnH0khIrO_kblcKQoq3LroP1ImdLm5jM5MJr2f2oQrrQ&oe=68951FA9,61,10 months ago
5,video,https://scontent-ams2-1.cdninstagram.com/o1/v/t2/f2/m78/AQPs5DyCtOu86OR7AhZd1PkODMqEnKb_ZgMYlMfFBSPi0hI8Pv-2l_nTTf0KW4HkYSK8AmEbRd7IG6Ip0vMk9_lW3rA1fSizdruI-FI.mp4?_nc_cat=109&_nc_sid=5e9851&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_ohc=zPzJwHkkySIQ7kNvwFMVdLC&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uU1RPUlkuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6NTIzOTAwNzEwNTczODEwLCJ2aV91c2VjYXNlX2lkIjoxMDgyNiwiZHVyYXRpb25fcyI6NSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=5a6b741cd78c02b7&_nc_vs=HBkcFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0M2NDI1RjlDNzMxQzkxNEYzQUNBNzFFMjJGQUY5Mzg2X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbk24K8hJ_uARUCKAJDMywXQBQAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHZZSpAQA&_nc_gid=dwolHFaKKiXq8C8x5OhGMA&_nc_zt=28&oh=00_AfVCNb8XSu_fmktA7zhpAan9-VosFCUQCGs_m57Jrn9Wlg&oe=68953B12,5,10 months ago
6,video,https://scontent-ams2-1.cdninstagram.com/o1/v/t2/f2/m78/AQNDkS0vbi4ads2vVoy91QEsPYtu7WeceUbdQYiLAq0n9tHblo-3pOqOyQP5utrwQgu08cRWmhu5lGfyEnwbQAvGuCdoqN2v-yhzgfs.mp4?_nc_cat=110&_nc_sid=5e9851&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_ohc=CDXk6tF_iQIQ7kNvwF_FHMh&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uU1RPUlkuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTE5NDU3Njg1ODMxOTQ3OSwidmlfdXNlY2FzZV9pZCI6MTAxMDAsImR1cmF0aW9uX3MiOjksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=ceae8ed40f19b18a&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0Y0NDQzOTgyRUQ5MkMwMzlDNDZCQzY3QTIzQTRDQzhFX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dET29neHRaV1Y1anZFd0pBSTJuNXBFbHNONTNicGt3QUFBRhUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbuqeCUw52fBBUCKAJDMywXQCMBiTdLxqgYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHZeidAQA&_nc_zt=28&oh=00_AfXf4VSbdp4qHdwGtlWBEG_cUDGrASJoVi785wKO08CLEA&oe=6895232F,10,10 months ago
7,image,https://scontent-ams2-1.cdninstagram.com/v/t51.29350-15/461502258_1037747351000313_1303917182449394928_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IlNUT1JZLmltYWdlX3VybGdlbi4xMTI1eDIwMDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlLmMyIn0&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QEUXefyXTS1Thqit6u0ZR8-xaThKoy-EPNGcmhzy_1YZA0SR2KHanmGLTM1JASEvhs&_nc_ohc=sEXZ9cwRAocQ7kNvwED9LWD&_nc_gid=dwolHFaKKiXq8C8x5OhGMA&edm=ANmP7GQBAAAA&ccb=7-5&ig_cache_key=MzQ2Njg1MjIzNjg4MjMzNzk4Nw%3D%3D.3-ccb7-5&oh=00_AfUW7RkKg0nMOqXxQWzCQwwdlx_xSLZko2dgn89DSx3VcA&oe=68991EDB&_nc_sid=982cc7,0,10 months ago
8,video,https://scontent-ams2-1.cdninstagram.com/o1/v/t2/f2/m78/AQPff-r1PJhxsobBtS8jueTdd-ZNs077n9yZSyYaj5FCTRLwvxwsFaXD7QTiNyUdcrlunpi2CAn3MCWDqamBiPN-EsNKKItaMT17g5s.mp4?_nc_cat=105&_nc_sid=5e9851&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_ohc=xa576BPo5aAQ7kNvwGGEkl5&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uU1RPUlkuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MjkyNzc2Mjk5MDczMjQ4MCwidmlfdXNlY2FzZV9pZCI6MTAxMDAsImR1cmF0aW9uX3MiOjEwLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=90f4e2e1b869ec42&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0U2NDRBMDAwRUFBMzI5MjE2MEFBMzhFQTVDNjdBNEE1X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dDLWtlUnQwbFFMaXFqTUVBSTFkdGcxdjRURTJicGt3QUFBRhUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaA0-SQnrKzChUCKAJDMywXQCWZmZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHZeidAQA&_nc_zt=28&oh=00_AfXVc1CuMDWjWjAmcoE82lzRwQyeKwKRQXLj-JT-TFXa8g&oe=68953F3A,11,10 months ago
9,video,https://scontent-ams2-1.cdninstagram.com/o1/v/t2/f2/m78/AQPJZ91ASnQzB6lPm9N4JURo98AQ4h-qZqxME122NUYhHMNBA9MC3udmRzwJXwQQlnBx1EUGlnhc-PDNVyji6QdODbi7byjmrJVW5vk.mp4?_nc_cat=102&_nc_sid=5e9851&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_ohc=SMVpJFmkOqYQ7kNvwFEKZKS&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uU1RPUlkuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTY5NjcwMzUxNDUwNjAwMiwidmlfdXNlY2FzZV9pZCI6MTAxMDAsImR1cmF0aW9uX3MiOjEyLCJ3YXRjaF90aW1lX3MiOjAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=271b1408e5395c1a&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzk5NDJBRjM5Q0EyQTUwMUI4RjhFRkQxRjBFQzU3M0JCX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dHUThoQnYycGZ0TUF0NERBQlNFbE5DSFJWME9icGt3QUFBRhUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACakzKukksmDBhUCKAJDMywXQCnul41P3zsYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHZeidAQA&_nc_zt=28&oh=00_AfWlXEMDeRLuSQ-MQrE7URWMwQfkxhWS9F66KJdn0hZ_ig&oe=6895398F,13,10 months ago
10,video,https://scontent-ams2-1.cdninstagram.com/o1/v/t2/f2/m78/AQPy3AWxNIWm-b7XFZeqQPB3XiqBWB50OWAcrOC6uPPzH7qVgGWC_ogUZRAY_7HiUeOYPaga9BxreH33UFUbWB2Db-so2EIb_g4Opy4.mp4?_nc_cat=105&_nc_sid=5e9851&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_ohc=FGfY6BmZA70Q7kNvwFrxxmv&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uU1RPUlkuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6NTM3MTc3MjIyMjM4NDM0LCJ2aV91c2VjYXNlX2lkIjoxMDEwMCwiZHVyYXRpb25fcyI6MTQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=a20e80a2d1562473&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzU2NDlCQzdBRURCQjkxOUE0OUFCNjY2Qjg5QzFDM0IwX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dIektnQnM0SzZsaHRxd0JBSHc1MFJZb0tNUV9icGt3QUFBRhUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbEw5qY6qP0ARUCKAJDMywXQC3MzMzMzM0YEmRhc2hfYmFzZWxpbmVfMV92MREAdegHZeidAQA&_nc_zt=28&oh=00_AfXiMaa6AvUW-IR-vQdYEQFwoF1M5q0Wgy7avAA7yFzucw&oe=689542CE,15,10 months ago
